Phi [deg],data1,data2,data3,data4
217,-4.222427777,-9.222427777,-16.72242778,-24.22242778
218,-3.990728256,-8.990728256,-16.49072826,-23.99072826
219,-3.765248396,-8.765248396,-16.2652484,-23.7652484
220,-3.54577714,-8.54577714,-16.04577714,-23.54577714
221,-3.332122962,-8.332122962,-15.83212296,-23.33212296
222,-3.124111989,-8.124111989,-15.62411199,-23.12411199
223,-2.921586336,-7.921586336,-15.42158634,-22.92158634
224,-2.72440262,-7.72440262,-15.22440262,-22.72440262
225,-2.532430619,-7.532430619,-15.03243062,-22.53243062
226,-2.345552078,-7.345552078,-14.84555208,-22.34555208
227,-2.163659631,-7.163659631,-14.66365963,-22.16365963
228,-1.986655826,-6.986655826,-14.48665583,-21.98665583
229,-1.814452244,-6.814452244,-14.31445224,-21.81445224
230,-1.6469687,-6.6469687,-14.1469687,-21.6469687
231,-1.484132521,-6.484132521,-13.98413252,-21.48413252
232,-1.325877884,-6.325877884,-13.82587788,-21.32587788
233,-1.172145214,-6.172145214,-13.67214521,-21.17214521
234,-1.022880639,-6.022880639,-13.52288064,-21.02288064
235,-0.878035482,-5.878035482,-13.37803548,-20.87803548
236,-0.737565812,-5.737565812,-13.23756581,-20.73756581
237,-0.601432012,-5.601432012,-13.10143201,-20.60143201
238,-0.469598402,-5.469598402,-12.9695984,-20.4695984
239,-0.342032882,-5.342032882,-12.84203288,-20.34203288
240,-0.218706606,-5.218706606,-12.71870661,-20.21870661
241,-0.099593687,-5.099593687,-12.59959369,-20.09959369
242,0.015329083,-4.984670917,-12.48467092,-19.98467092
243,0.126082482,-4.873917518,-12.37391752,-19.87391752
244,0.232685088,-4.767314912,-12.26731491,-19.76731491
245,0.335153498,-4.664846502,-12.1648465,-19.6648465
246,0.433502521,-4.566497479,-12.06649748,-19.56649748
247,0.52774536,-4.47225464,-11.97225464,-19.47225464
248,0.617893775,-4.382106225,-11.88210623,-19.38210623
249,0.703958237,-4.296041763,-11.79604176,-19.29604176
250,0.78594807,-4.21405193,-11.71405193,-19.21405193
251,0.863871574,-4.136128426,-11.63612843,-19.13612843
252,0.937736146,-4.062263854,-11.56226385,-19.06226385
253,1.007548385,-3.992451615,-11.49245161,-18.99245161
254,1.07331419,-3.92668581,-11.42668581,-18.92668581
255,1.135038846,-3.864961154,-11.36496115,-18.86496115
256,1.192727111,-3.807272889,-11.30727289,-18.80727289
257,1.246383279,-3.753616721,-11.25361672,-18.75361672
258,1.296011253,-3.703988747,-11.20398875,-18.70398875
259,1.3416146,-3.6583854,-11.1583854,-18.6583854
260,1.383196604,-3.616803396,-11.1168034,-18.6168034
261,1.42076031,-3.57923969,-11.07923969,-18.57923969
262,1.454308568,-3.545691432,-11.04569143,-18.54569143
263,1.483844062,-3.516155938,-11.01615594,-18.51615594
264,1.509369344,-3.490630656,-10.99063066,-18.49063066
265,1.530886859,-3.469113141,-10.96911314,-18.46911314
266,1.548398959,-3.451601041,-10.95160104,-18.45160104
267,1.561907924,-3.438092076,-10.93809208,-18.43809208
268,1.571415973,-3.428584027,-10.92858403,-18.42858403
269,1.576925265,-3.423074735,-10.92307474,-18.42307474
270,1.578437906,-3.421562094,-10.92156209,-18.42156209
271,1.575955948,-3.424044052,-10.92404405,-18.42404405
272,1.569481379,-3.430518621,-10.93051862,-18.43051862
273,1.559016119,-3.440983881,-10.94098388,-18.44098388
274,1.544562001,-3.455437999,-10.955438,-18.455438
275,1.52612076,-3.47387924,-10.97387924,-18.47387924
276,1.503694004,-3.496305996,-10.996306,-18.496306
277,1.477283197,-3.522716803,-11.0227168,-18.5227168
278,1.446889624,-3.553110376,-11.05311038,-18.55311038
279,1.412514359,-3.587485641,-11.08748564,-18.58748564
280,1.374158228,-3.625841772,-11.12584177,-18.62584177
281,1.331821769,-3.668178231,-11.16817823,-18.66817823
282,1.28550518,-3.71449482,-11.21449482,-18.71449482
283,1.235208273,-3.764791727,-11.26479173,-18.76479173
284,1.180930414,-3.819069586,-11.31906959,-18.81906959
285,1.122670462,-3.877329538,-11.37732954,-18.87732954
286,1.060426705,-3.939573295,-11.43957329,-18.93957329
287,0.994196782,-4.005803218,-11.50580322,-19.00580322
288,0.923977604,-4.076022396,-11.5760224,-19.0760224
289,0.849765271,-4.150234729,-11.65023473,-19.15023473
290,0.771554977,-4.228445023,-11.72844502,-19.22844502
291,0.689340905,-4.310659095,-11.81065909,-19.31065909
292,0.603116122,-4.396883878,-11.89688388,-19.39688388
293,0.512872458,-4.487127542,-11.98712754,-19.48712754
294,0.418600377,-4.581399623,-12.08139962,-19.58139962
295,0.320288838,-4.679711162,-12.17971116,-19.67971116
296,0.217925146,-4.782074854,-12.28207485,-19.78207485
297,0.111494788,-4.888505212,-12.38850521,-19.88850521
298,0.000981254,-4.999018746,-12.49901875,-19.99901875
299,-0.113634149,-5.113634149,-12.61363415,-20.11363415
300,-0.23237251,-5.23237251,-12.73237251,-20.23237251
301,-0.355257533,-5.355257533,-12.85525753,-20.35525753
302,-0.482315786,-5.482315786,-12.98231579,-20.48231579
303,-0.613576963,-5.613576963,-13.11357696,-20.61357696
304,-0.749074172,-5.749074172,-13.24907417,-20.74907417
305,-0.888844247,-5.888844247,-13.38884425,-20.88884425
306,-1.032928094,-6.032928094,-13.53292809,-21.03292809
307,-1.181371056,-6.181371056,-13.68137106,-21.18137106
308,-1.334223321,-6.334223321,-13.83422332,-21.33422332
309,-1.491540368,-6.491540368,-13.99154037,-21.49154037
310,-1.653383446,-6.653383446,-14.15338345,-21.65338345
311,-1.819820108,-6.819820108,-14.31982011,-21.81982011
312,-1.990924796,-6.990924796,-14.4909248,-21.9909248
313,-2.166779474,-7.166779474,-14.66677947,-22.16677947
314,-2.34747434,-7.34747434,-14.84747434,-22.34747434
315,-2.533108596,-7.533108596,-15.0331086,-22.5331086
316,-2.723791311,-7.723791311,-15.22379131,-22.72379131
317,-2.919642371,-7.919642371,-15.41964237,-22.91964237
318,-3.120793529,-8.120793529,-15.62079353,-23.12079353
319,-3.327389583,-8.327389583,-15.82738958,-23.32738958
320,-3.539589679,-8.539589679,-16.03958968,-23.53958968
321,-3.757568773,-8.757568773,-16.25756877,-23.75756877
322,-3.981519269,-8.981519269,-16.48151927,-23.98151927
323,-4.211652857,-9.211652857,-16.71165286,-24.21165286
324,-4.44820259,-9.44820259,-16.94820259,-24.44820259
325,-4.691425228,-9.691425228,-17.19142523,-24.69142523
326,-4.941603903,-9.941603903,-17.4416039,-24.9416039
327,-5.199051149,-10.19905115,-17.69905115,-25.19905115
328,-5.464112369,-10.46411237,-17.96411237,-25.46411237
329,-5.737169815,-10.73716981,-18.23716981,-25.73716981
330,-6.018647174,-11.01864717,-18.51864717,-26.01864717
331,-6.309014877,-11.30901488,-18.80901488,-26.30901488
332,-6.608796274,-11.60879627,-19.10879627,-26.60879627
333,-6.918574859,-11.91857486,-19.41857486,-26.91857486
334,-7.23900275,-12.23900275,-19.73900275,-27.23900275
335,-7.570810725,-12.57081072,-20.07081072,-27.57081072
336,-7.914820145,-12.91482015,-20.41482015,-27.91482015
337,-8.271957231,-13.27195723,-20.77195723,-28.27195723
338,-8.643270262,-13.64327026,-21.14327026,-28.64327026
339,-9.029950461,-14.02995046,-21.52995046,-29.02995046
340,-9.43335755,-14.43335755,-21.93335755,-29.43335755
341,-9.855051295,-14.8550513,-22.3550513,-29.8550513
342,-10.29683081,-15.29683081,-22.79683081,-30.29683081
343,-10.76078405,-15.76078405,-23.26078405,-30.76078405
344,-11.24935075,-16.24935075,-23.74935075,-31.24935075
345,-11.76540365,-16.76540365,-24.26540365,-31.76540365
346,-12.31235444,-17.31235444,-24.81235444,-32.31235444
347,-12.89429435,-17.89429435,-25.39429435,-32.89429435
348,-13.51618365,-18.51618365,-26.01618365,-33.51618365
349,-14.18411206,-19.18411206,-26.68411206,-34.18411206
350,-14.90566424,-19.90566424,-27.40566424,-34.90566424
351,-15.69044534,-20.69044534,-28.19044534,-35.69044534
352,-16.5508582,-21.5508582,-29.0508582,-36.5508582
353,-17.50329036,-22.50329036,-30.00329036,-37.50329036
354,-18.56999674,-23.56999674,-31.06999674,-38.56999674
355,-19.78222212,-24.78222212,-32.28222212,-39.78222212
356,-21.18566002,-26.18566002,-33.68566002,-41.18566002
357,-22.85060575,-27.85060575,-35.35060575,-42.85060575
358,-24.89217376,-29.89217376,-37.39217376,-44.89217376
359,-27.51265293,-32.51265293,-40.01265293,-47.51265293
360,-31.07632162,-36.07632162,-43.57632162,-51.07632162
